store_name,store_format,address,opening_hours,latitude,longitude,in_baku_study_bbox,google_maps_url,source_url,collected_at_utc
Bravo Ganja Railway st.,Express,Zulfu Hajiyev street 8,08:00 - 22:00,40.713882,46.367138,False,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.713882,46.367138&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sabunchu Railway st.,Express,Asildar Mammadaliyev street,07:00 - 23:00,40.446301,49.946194,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.446301,49.946194&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Ganja av.,Express,"Ahmadli settlement, Ganja avenue",07:00 - 23:00,40.358143,49.961662,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358143,49.961662&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Abdulvahab Salamzade st.,Express,Abdulvahab Salamzade street 7,07:00 - 02:00,40.393284,49.810108,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393284,49.810108&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Zahid Khalilov st.,Express,Zahid Khalilov street 568,07:00 - 02:00,40.379364,49.811714,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379364,49.811714&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Rifah Palace residence,Express,Mirasadulla Mirgasimov street 8,07:00-02:00,40.394775,49.838371,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394775,49.838371&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 20 January st.,Express,"Nasimi region, 20 January street",07:00 - 02:00,40.412437,49.809032,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412437,49.809032&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sahil m/s,Express,Khagani street 21,07:00 - 02:00,40.373371,49.844433,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373371,49.844433&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Jeyhun Hajibayli st.,Express,Jeyhun Hajibeyli street 8,07:00 - 02:00,40.385174,49.848789,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385174,49.848789&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Svetlana Mammadova st.,Express,Svetlana Mammadova street 122,07:00 - 02:00,40.424446,49.823261,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.424446,49.823261&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Park Bayil residence,Express,Gurban Abbasov street 27,07:00 - 23:00,40.344589,49.838936,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.344589,49.838936&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sea Breeze residence,Express,"Nardaran settlement, Sea Breeze residence",24/7,40.587234,49.985023,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.587234,49.985023&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo 20 January m/s,Express,Hasan bay Zardabi avenue 811,07:00 - 23:00,40.403976,49.806622,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403976,49.806622&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Azerbaijan av.,Express,Azerbaijan avenue 23,07:00 - 00:00,40.372826,49.832901,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.372826,49.832901&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Aliashraf Alizade st.,Express,Aliashraf Alizade street 65,07:00 - 23:00,40.41124,49.870834,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.41124,49.870834&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Javadkhan st.,Express,Javadkhan street 4A,07:00 - 23:00,40.419746,49.818203,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419746,49.818203&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Bashir Safaroghlu st.,Express,Tabriz Khalilbayli street 31A,24/7,40.373669,49.83382,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373669,49.83382&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Bakir Chobanzade st.,Express,Bakir Chobanzade street 46A,07:00-02:00,40.411163,49.931221,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411163,49.931221&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Park City residence,Express,Rustam Rustamov street 72A,08:00 - 22:00,40.410393,49.950638,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.410393,49.950638&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Akim Abbasov st.,Express,General Akim Abbasov street 1,07:00 - 00:00,40.385593,49.804523,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385593,49.804523&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sabit Rahman st.,Express,Sabit Rahman street 82B,07:00 - 23:00,40.399803,49.83371,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399803,49.83371&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Mahammad Hadi st. 136,Express,Mahammad Hadi street 136A,07:00 - 23:00,40.390984,49.953701,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390984,49.953701&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Chinar Park residence,Express,Ziya Bunyadov avenue 1965,07:00 - 23:00,40.415352,49.857815,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415352,49.857815&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo M.F.Akhundov st.,Express,Mirza Fatali Akhundov street 179,08:00 - 02:00,40.383011,49.825718,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383011,49.825718&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Nasimi st.,Express,"Nizami region, Nasimi street 214",07:00 - 23:00,40.414333,49.94532,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414333,49.94532&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Suleyman Vazirov st.,Express,Khojali avenue 29,07:00 - 02:00,40.383778,49.870468,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383778,49.870468&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo Sattar Bahlulzade st.,Express,Sattar Bahlulzade street 1,07:00 - 00:00,40.413254,49.837021,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.413254,49.837021&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo A.Bakikhanov st.,Express,Abbasgulu agha Bakikhanov street 35-37,07:00 - 23:00,40.390858,49.845531,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390858,49.845531&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
Bravo S.A.Shirvani st.,Express,Seyid Azim Shirvani street 29,07:00 - 00:00,40.39259,49.961163,True,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.39259,49.961163&travelmode=driver",https://www.bravosupermarket.az/en/branches/,2026-09-24T15:16:39.828571+00:00
