cell_id,district,reverse_geocode_name,centre_latitude,centre_longitude,source
139,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.39840660650072,49.95713415466264,OpenStreetMap via Nominatim reverse geocoding
16,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.39680121990746,49.79219340913188,OpenStreetMap via Nominatim reverse geocoding
82,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.39763331561623,49.87466212366102,OpenStreetMap via Nominatim reverse geocoding
122,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.416206872667935,49.93328598773774,OpenStreetMap via Nominatim reverse geocoding
28,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.40593089947791,49.80381500375839,OpenStreetMap via Nominatim reverse geocoding
64,Binagadi,"Binəqədi 1 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.42430582781844,49.838853571598094,OpenStreetMap via Nominatim reverse geocoding
130,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.40730738114102,49.94521164154812,OpenStreetMap via Nominatim reverse geocoding
29,Binagadi,"Binəqədi 2 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.414938093604896,49.80365549373705,OpenStreetMap via Nominatim reverse geocoding
131,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.41631501087158,49.9450709775266,OpenStreetMap via Nominatim reverse geocoding
42,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.415059441243336,49.81543973825497,OpenStreetMap via Nominatim reverse geocoding
76,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.406525441757935,49.86272908031573,OpenStreetMap via Nominatim reverse geocoding
80,Khatai,"Xətai rayonu, Azərbaycan",40.37961840539549,49.87496196049252,OpenStreetMap via Nominatim reverse geocoding
15,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.38779403533359,49.792354344111246,OpenStreetMap via Nominatim reverse geocoding
83,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.40664074892003,49.874512103737615,OpenStreetMap via Nominatim reverse geocoding
63,Binagadi,"Binəqədi 1 siəd, Bakı, Binəqədi rayonu, Azərbaycan",40.41529853423268,49.83900844046683,OpenStreetMap via Nominatim reverse geocoding
140,Nizami,"Nizami rayonu, Bakı, Azərbaycan",40.40741428453736,49.95699512411852,OpenStreetMap via Nominatim reverse geocoding
27,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.39692369075284,49.80397444181299,OpenStreetMap via Nominatim reverse geocoding
62,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.40629122607789,49.83916323945776,OpenStreetMap via Nominatim reverse geocoding
74,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.38851063356395,49.86303219132464,OpenStreetMap via Nominatim reverse geocoding
73,Khatai,"Xətai rayonu, Azərbaycan",40.37950320764653,49.86318364427716,OpenStreetMap via Nominatim reverse geocoding
39,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.388037699932376,49.81591334365721,OpenStreetMap via Nominatim reverse geocoding
38,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.37903042365538,49.81607106970386,OpenStreetMap via Nominatim reverse geocoding
52,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.38815773281751,49.82769295056328,OpenStreetMap via Nominatim reverse geocoding
53,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.39716503249778,49.82753672225802,OpenStreetMap via Nominatim reverse geocoding
50,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.370143089729886,49.82800519577308,OpenStreetMap via Nominatim reverse geocoding
25,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.37890922951236,49.80429310216813,OpenStreetMap via Nominatim reverse geocoding
51,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.37915041856122,49.827849108389714,OpenStreetMap via Nominatim reverse geocoding
81,Khatai,"Xətai rayonu, Azərbaycan",40.38862586777437,49.87481207590119,OpenStreetMap via Nominatim reverse geocoding
75,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.39751804493475,49.86288067001573,OpenStreetMap via Nominatim reverse geocoding
58,Sabail,"Səbail rayonu, Azərbaycan",40.37026184778758,49.839781737353086,OpenStreetMap via Nominatim reverse geocoding
26,Yasamal,"Yasamal rayonu, Bakı, Azərbaycan",40.38791646743066,49.80413380793739,OpenStreetMap via Nominatim reverse geocoding
70,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.40640893413707,49.850946125319695,OpenStreetMap via Nominatim reverse geocoding
67,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.37938681057752,49.85140539638347,OpenStreetMap via Nominatim reverse geocoding
61,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.397283903355,49.83931796860639,OpenStreetMap via Nominatim reverse geocoding
68,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.38839419965403,49.85125237510447,OpenStreetMap via Nominatim reverse geocoding
69,Narimanov,"Nərimanov rayonu, Bakı, Azərbaycan",40.39740157417421,49.85109928476157,OpenStreetMap via Nominatim reverse geocoding
60,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.388276566065,49.83947262794819,OpenStreetMap via Nominatim reverse geocoding
59,Nasimi,"Nəsimi rayonu, Bakı, Azərbaycan",40.37926921420888,49.83962721751862,OpenStreetMap via Nominatim reverse geocoding
